season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2013-14,1610612762,45,104,2.31,3.44,0.156,0.178,0.911,0.486,0.492,
2014-15,1610612762,82,686,8.37,9.45,1.33,0.78,2.3,0.604,0.623,0.0
2015-16,1610612762,61,557,9.13,11.0,1.49,0.738,2.21,0.559,0.569,
2016-17,1610612762,81,1137,14.0,12.8,1.2,0.605,2.64,0.661,0.653,0.0
2017-18,1610612762,56,756,13.5,10.7,1.43,0.786,2.3,0.622,0.682,
2018-19,1610612762,81,1284,15.9,12.9,1.99,0.815,2.31,0.669,0.636,
2019-20,1610612762,68,1026,15.1,13.5,1.49,0.75,1.99,0.693,0.63,
2020-21,1610612762,71,1015,14.3,13.5,1.25,0.563,2.68,0.675,0.623,0.0
2021-22,1610612762,66,1027,15.6,14.7,1.09,0.682,2.08,0.713,0.69,0.0
2022-23,1610612750,70,939,13.4,11.6,1.24,0.8,1.36,0.659,0.644,0.0
2023-24,1610612750,76,1061,14.0,12.9,1.34,0.684,2.13,0.661,0.638,0.0
2024-25,1610612750,62,678,10.9,10.3,1.81,0.758,1.48,0.657,0.684,
