season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2008-09,1610612760,82,1256,15.3,4.87,5.3,1.34,0.195,0.398,0.815,0.271
2009-10,1610612760,82,1322,16.1,4.89,7.95,1.32,0.415,0.418,0.78,0.221
2010-11,1610612760,82,1793,21.9,4.62,8.17,1.89,0.366,0.442,0.842,0.33
2011-12,1610612760,66,1558,23.6,4.56,5.48,1.7,0.318,0.457,0.823,0.316
2012-13,1610612760,82,1903,23.2,5.22,7.4,1.77,0.293,0.438,0.8,0.323
2013-14,1610612760,46,1002,21.8,5.72,6.93,1.91,0.152,0.437,0.826,0.318
2014-15,1610612760,67,1886,28.1,7.28,8.57,2.09,0.209,0.426,0.835,0.299
2015-16,1610612760,80,1878,23.5,7.83,10.4,2.04,0.25,0.454,0.812,0.296
2016-17,1610612760,81,2558,31.6,10.7,10.4,1.63,0.383,0.425,0.845,0.343
2017-18,1610612760,80,2028,25.4,10.1,10.2,1.84,0.25,0.449,0.737,0.298
2018-19,1610612760,73,1675,22.9,11.1,10.7,1.95,0.452,0.428,0.656,0.29
2019-20,1610612745,57,1553,27.2,7.91,7.04,1.63,0.351,0.472,0.763,0.258
2020-21,1610612764,65,1445,22.2,11.5,11.7,1.37,0.354,0.439,0.656,0.315
2021-22,1610612747,78,1441,18.5,7.44,7.05,0.962,0.256,0.444,0.667,0.298
2022-23,1610612747,52,827,15.9,6.17,7.52,1.02,0.442,0.417,0.655,0.296
2022-23,1610612746,21,332,15.8,4.86,7.62,1.1,0.476,0.489,0.658,0.356
2022-23,0,73,1159,15.9,5.79,7.55,1.04,0.452,0.436,0.656,0.311
2023-24,1610612746,68,754,11.1,5.04,4.5,1.09,0.338,0.454,0.688,0.273
2024-25,1610612743,65,858,13.2,5.05,6.17,1.43,0.523,0.457,0.64,0.341
