season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2014-15,1610612765,34,145,4.26,1.41,3.06,0.559,0.176,0.302,0.912,0.185
2015-16,1610612765,12,58,4.83,1.42,1.83,0.25,0.0,0.352,0.576,0.1
2016-17,1610612751,59,432,7.32,2.78,3.14,0.746,0.39,0.444,0.792,0.376
2017-18,1610612751,80,1007,12.6,3.24,6.55,0.85,0.287,0.387,0.813,0.326
2018-19,1610612751,68,1143,16.8,2.44,4.57,0.588,0.25,0.442,0.806,0.335
2019-20,1610612751,64,1318,20.6,3.45,6.75,0.625,0.328,0.415,0.778,0.307
2020-21,1610612751,3,20,6.67,4.33,3.0,0.667,0.333,0.375,1.0,0.286
2021-22,1610612764,44,556,12.6,4.7,5.82,0.614,0.159,0.376,0.811,0.31
2021-22,1610612742,23,363,15.8,3.13,3.91,0.739,0.261,0.498,0.725,0.404
2021-22,0,67,919,13.7,4.16,5.16,0.657,0.194,0.416,0.774,0.339
2022-23,1610612742,53,940,17.7,3.08,5.26,0.736,0.302,0.455,0.821,0.405
2022-23,1610612751,26,429,16.5,4.12,9.08,1.08,0.308,0.404,0.797,0.289
2022-23,0,79,1369,17.3,3.42,6.52,0.848,0.304,0.438,0.812,0.369
2023-24,1610612751,48,604,12.6,3.29,6.0,0.792,0.188,0.391,0.781,0.32
2023-24,1610612747,28,191,6.82,1.68,2.43,0.464,0.464,0.397,0.88,0.389
2023-24,0,76,795,10.5,2.7,4.68,0.671,0.289,0.392,0.805,0.337
2024-25,1610612742,69,758,11.0,2.45,3.96,0.87,0.203,0.42,0.814,0.336
