season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2009-10,1610612744,80,1399,17.5,4.45,5.9,1.9,0.237,0.462,0.885,0.437
2010-11,1610612744,74,1373,18.6,3.86,5.84,1.47,0.27,0.48,0.934,0.442
2011-12,1610612744,26,383,14.7,3.38,5.31,1.5,0.308,0.49,0.809,0.455
2012-13,1610612744,78,1786,22.9,4.03,6.91,1.62,0.154,0.451,0.9,0.453
2013-14,1610612744,78,1873,24.0,4.28,8.54,1.64,0.179,0.471,0.885,0.424
2014-15,1610612744,80,1900,23.8,4.26,7.74,2.04,0.2,0.487,0.914,0.443
2015-16,1610612744,79,2375,30.1,5.44,6.67,2.14,0.19,0.504,0.907,0.454
2016-17,1610612744,79,1999,25.3,4.47,6.63,1.8,0.215,0.468,0.898,0.411
2017-18,1610612744,51,1346,26.4,5.12,6.08,1.57,0.157,0.495,0.921,0.423
2018-19,1610612744,69,1881,27.3,5.35,5.23,1.33,0.362,0.472,0.916,0.437
2019-20,1610612744,5,104,20.8,5.2,6.6,1.0,0.4,0.402,1.0,0.245
2020-21,1610612744,63,2015,32.0,5.48,5.76,1.22,0.127,0.482,0.916,0.421
2021-22,1610612744,64,1630,25.5,5.23,6.31,1.33,0.359,0.437,0.923,0.38
2022-23,1610612744,56,1648,29.4,6.09,6.29,0.929,0.357,0.493,0.915,0.427
2023-24,1610612744,74,1956,26.4,4.46,5.12,0.73,0.378,0.45,0.923,0.408
2024-25,1610612744,60,1449,24.1,4.35,6.03,1.07,0.433,0.447,0.929,0.394
