season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2013-14,1610612760,81,265,3.27,4.1,0.531,0.494,0.704,0.503,0.581,
2014-15,1610612760,70,537,7.67,7.47,0.943,0.543,1.23,0.544,0.502,0.0
2015-16,1610612760,80,636,7.95,6.66,0.775,0.525,1.11,0.613,0.582,
2016-17,1610612760,80,905,11.3,7.66,1.07,1.11,0.975,0.571,0.611,0.0
2017-18,1610612760,76,1056,13.9,9.01,1.16,1.21,1.03,0.629,0.559,0.0
2018-19,1610612760,80,1108,13.8,9.5,1.55,1.46,0.95,0.595,0.5,0.0
2019-20,1610612760,63,684,10.9,9.25,2.32,0.81,1.06,0.592,0.582,0.333
2020-21,1610612740,58,438,7.55,8.86,1.91,0.931,0.655,0.614,0.444,0.0
2021-22,1610612763,76,528,6.95,10.0,3.37,0.855,0.789,0.547,0.543,0.0
2022-23,1610612763,42,361,8.6,11.5,2.31,0.857,1.1,0.597,0.364,0.0
2024-25,1610612745,52,194,3.73,5.46,1.21,0.365,0.481,0.534,0.424,0.0
