season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2009-10,1610612741,82,735,8.96,7.45,0.854,0.61,1.27,0.494,0.646,
2010-11,1610612741,80,569,7.11,5.72,0.725,0.487,1.32,0.466,0.676,0.125
2011-12,1610612741,63,484,7.68,5.27,0.746,0.429,1.29,0.495,0.622,
2012-13,1610612741,65,517,7.95,5.31,0.938,0.415,1.38,0.485,0.679,0.0
2013-14,1610612741,82,1069,13.0,6.8,1.11,0.5,1.37,0.479,0.751,0.0
2014-15,1610612741,62,640,10.3,6.39,1.15,0.581,1.21,0.502,0.717,
2015-16,1610612741,73,627,8.59,6.9,1.45,0.644,1.05,0.526,0.692,0.0
2016-17,1610612741,55,639,11.6,6.95,1.09,0.491,0.909,0.521,0.714,0.167
2016-17,1610612760,23,207,9.0,4.48,0.565,0.609,0.652,0.497,0.718,1.0
2016-17,0,78,846,10.8,6.22,0.936,0.526,0.833,0.515,0.715,0.231
2017-18,1610612750,82,999,12.2,7.12,1.21,0.756,0.72,0.577,0.768,0.2
2018-19,1610612750,70,753,10.8,6.54,1.2,0.757,0.557,0.566,0.757,0.324
2019-20,1610612752,62,379,6.11,4.31,0.839,0.435,0.484,0.584,0.732,0.286
2020-21,1610612752,45,241,5.36,5.56,0.8,0.689,1.09,0.627,0.727,0.2
2021-22,1610612752,52,229,4.4,4.4,0.615,0.423,0.769,0.518,0.808,0.395
2022-23,1610612764,49,168,3.43,1.9,0.694,0.306,0.245,0.52,0.714,0.333
2023-24,1610612752,16,16,1.0,1.75,0.562,0.125,0.375,0.304,1.0,0.0
2023-24,1610612765,4,18,4.5,2.25,0.5,0.25,0.25,0.571,,0.5
2023-24,0,20,34,1.7,1.85,0.55,0.15,0.35,0.405,1.0,0.2
2024-25,1610612766,29,86,2.97,3.45,0.552,0.276,0.414,0.5,0.688,0.5
