season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2015-16,1610612738,39,72,1.85,1.62,0.949,0.154,0.0256,0.274,0.8,0.222
2016-17,1610612738,74,410,5.54,3.07,1.77,0.608,0.149,0.367,0.773,0.318
2017-18,1610612738,80,900,11.2,4.7,2.9,1.0,0.237,0.395,0.772,0.381
2018-19,1610612738,79,708,8.96,3.89,2.92,0.861,0.266,0.387,0.785,0.353
2019-20,1610612766,63,1134,18.0,4.38,4.11,0.968,0.159,0.423,0.874,0.407
2020-21,1610612766,69,1407,20.4,4.38,4.25,1.26,0.377,0.45,0.817,0.389
2021-22,1610612766,73,1408,19.3,4.32,4.47,1.27,0.342,0.444,0.852,0.374
2022-23,1610612766,63,1329,21.1,4.11,5.06,1.17,0.254,0.415,0.809,0.327
2023-24,1610612766,30,696,23.2,3.9,6.6,1.07,0.4,0.459,0.845,0.358
2023-24,1610612748,31,509,16.4,4.19,4.65,1.0,0.29,0.423,0.913,0.371
2023-24,0,61,1205,19.8,4.05,5.61,1.03,0.344,0.443,0.869,0.363
2024-25,1610612748,59,660,11.2,3.76,2.66,0.593,0.237,0.396,0.857,0.3
