season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2013-14,1610612752,81,824,10.2,1.49,0.815,0.543,0.0864,0.428,0.828,0.363
2014-15,1610612752,70,804,11.5,2.23,1.81,0.286,0.2,0.389,0.801,0.342
2015-16,1610612737,51,326,6.39,1.69,1.0,0.412,0.137,0.43,0.893,0.336
2016-17,1610612737,79,1143,14.5,2.84,2.3,0.696,0.19,0.455,0.766,0.357
2017-18,1610612752,57,996,17.5,3.93,2.72,1.09,0.175,0.421,0.816,0.317
2018-19,1610612752,46,880,19.1,3.5,2.65,0.913,0.13,0.388,0.854,0.347
2018-19,1610612742,19,294,15.5,3.21,1.95,0.632,0.105,0.404,0.767,0.321
2018-19,0,65,1174,18.1,3.42,2.45,0.831,0.123,0.393,0.841,0.34
2019-20,1610612742,71,1121,15.8,3.27,1.93,0.577,0.0704,0.434,0.819,0.398
2020-21,1610612742,70,1163,16.6,3.27,1.8,0.443,0.157,0.447,0.816,0.391
2021-22,1610612742,42,598,14.2,3.71,2.19,0.905,0.143,0.394,0.757,0.336
2022-23,1610612742,71,1019,14.4,3.54,1.82,0.69,0.169,0.401,0.77,0.385
2023-24,1610612742,79,1139,14.4,3.22,1.76,0.532,0.0759,0.402,0.852,0.353
2024-25,1610612765,67,687,10.3,2.42,1.57,0.522,0.0896,0.399,0.831,0.359
