season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2011-12,1610612749,42,208,4.95,2.4,0.524,0.31,0.167,0.467,0.815,0.261
2012-13,1610612749,28,136,4.86,2.04,0.464,0.286,0.25,0.461,0.885,0.333
2012-13,1610612753,27,467,17.3,8.52,2.07,0.889,1.37,0.453,0.721,0.31
2012-13,0,55,603,11.0,5.22,1.25,0.582,0.8,0.455,0.752,0.315
2013-14,1610612753,61,893,14.6,6.95,1.34,0.672,0.393,0.464,0.807,0.254
2014-15,1610612753,68,1164,17.1,6.32,1.82,1.01,0.529,0.466,0.788,0.364
2015-16,1610612753,49,669,13.7,6.98,2.02,0.959,0.571,0.464,0.784,0.311
2015-16,1610612765,27,447,16.6,6.22,2.59,0.667,0.444,0.477,0.911,0.375
2015-16,0,76,1116,14.7,6.71,2.22,0.855,0.526,0.469,0.831,0.335
2016-17,1610612765,82,1321,16.1,5.07,1.73,0.732,0.476,0.481,0.841,0.347
2017-18,1610612765,48,868,18.1,5.08,1.96,0.708,0.312,0.451,0.846,0.409
2017-18,1610612746,32,618,19.3,6.03,3.06,1.16,0.625,0.473,0.8,0.414
2017-18,0,80,1486,18.6,5.46,2.4,0.887,0.438,0.46,0.829,0.411
2018-19,1610612746,55,1152,20.9,7.85,2.73,0.727,0.436,0.496,0.877,0.434
2018-19,1610612755,27,492,18.2,7.89,2.93,0.407,0.481,0.469,0.841,0.326
2018-19,0,82,1644,20.0,7.87,2.79,0.622,0.451,0.487,0.866,0.397
2019-20,1610612755,72,1411,19.6,6.88,3.15,0.736,0.556,0.471,0.806,0.367
2020-21,1610612755,62,1210,19.5,6.76,3.55,0.887,0.823,0.512,0.892,0.394
2021-22,1610612755,73,1257,17.2,6.79,3.45,0.644,0.589,0.482,0.842,0.367
2022-23,1610612755,74,1085,14.7,5.73,2.51,0.919,0.541,0.501,0.876,0.389
2023-24,1610612755,70,1204,17.2,6.47,3.1,1.0,0.657,0.487,0.878,0.353
2024-25,1610612765,68,939,13.8,6.04,2.21,0.985,0.794,0.473,0.864,0.331
