season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2011-12,1610612739,60,494,8.23,6.48,0.45,0.45,1.03,0.439,0.552,0.0
2012-13,1610612739,82,957,11.7,9.43,1.32,0.732,0.866,0.488,0.608,0.0
2013-14,1610612739,82,961,11.7,9.2,0.878,0.512,0.427,0.477,0.693,0.0
2014-15,1610612739,82,693,8.45,8.01,0.476,0.415,0.744,0.547,0.641,
2015-16,1610612739,82,643,7.84,9.0,0.756,0.463,0.622,0.588,0.616,
2016-17,1610612739,78,630,8.08,9.17,0.987,0.5,1.08,0.6,0.498,0.0
2017-18,1610612739,53,307,5.79,6.64,0.623,0.302,0.321,0.562,0.544,
2018-19,1610612739,43,470,10.9,10.2,2.0,0.651,0.372,0.529,0.642,
2019-20,1610612739,57,684,12.0,10.1,2.11,0.579,0.877,0.512,0.615,0.391
2020-21,1610612738,54,409,7.57,8.13,1.24,0.444,0.611,0.518,0.592,0.0
2021-22,1610612758,30,185,6.17,5.37,0.6,0.367,0.4,0.503,0.533,1.0
2021-22,1610612754,4,29,7.25,4.5,0.5,0.0,0.5,0.542,0.375,
2021-22,1610612741,23,130,5.65,4.74,0.609,0.522,0.304,0.565,0.542,0.0
2021-22,0,57,344,6.04,5.05,0.596,0.404,0.368,0.528,0.526,0.333
2023-24,1610612739,49,161,3.29,3.55,1.04,0.245,0.286,0.608,0.288,0.0
2024-25,1610612739,36,57,1.58,2.72,0.639,0.0278,0.222,0.456,0.227,0.0
