season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2014-15,1610612750,77,778,10.1,2.78,3.58,0.701,0.13,0.422,0.842,0.341
2015-16,1610612750,82,1150,14.0,2.78,3.06,0.841,0.207,0.452,0.793,0.389
2016-17,1610612750,47,889,18.9,3.4,2.96,0.872,0.213,0.459,0.836,0.387
2017-18,1610612741,24,401,16.7,3.92,3.0,1.0,0.167,0.383,0.813,0.341
2018-19,1610612741,63,1492,23.7,4.67,4.49,0.952,0.413,0.467,0.832,0.374
2019-20,1610612741,60,1530,25.5,4.82,4.23,1.47,0.467,0.45,0.802,0.38
2020-21,1610612741,58,1591,27.4,4.98,4.86,0.793,0.466,0.507,0.849,0.419
2021-22,1610612741,67,1635,24.4,4.6,4.52,0.612,0.343,0.476,0.853,0.389
2022-23,1610612741,77,1913,24.8,4.48,4.25,0.896,0.234,0.485,0.848,0.375
2023-24,1610612741,25,487,19.5,5.16,3.92,0.84,0.32,0.452,0.854,0.349
2024-25,1610612741,42,1007,24.0,4.81,4.5,0.929,0.238,0.511,0.797,0.446
2024-25,1610612758,20,433,21.6,3.8,3.95,0.75,0.1,0.511,0.875,0.42
2024-25,0,62,1440,23.2,4.48,4.32,0.871,0.194,0.511,0.819,0.438
