id,games_played,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct,career_pts,championships,role,name
1,59,24.9,8.17,8.46,0.932,0.593,0.516,0.764,0.384,1467,4,Forward,LeBron James
2,58,26.6,6.07,4.36,0.81,1.24,0.528,0.832,0.417,1545,4,Forward,Kevin Durant
3,68,22.5,5.82,8.69,1.49,0.662,0.396,0.874,0.345,1531,0,Guard,James Harden
4,65,13.2,5.05,6.17,1.43,0.523,0.457,0.64,0.341,858,0,Guard,Russell Westbrook
5,60,24.1,4.35,6.03,1.07,0.433,0.447,0.929,0.394,1449,4,Guard,Stephen Curry
6,65,22.2,3.91,4.15,0.923,0.369,0.485,0.868,0.349,1445,0,Guard-Forward,DeMar DeRozan
7,70,8.81,3.63,7.74,1.26,0.214,0.426,0.94,0.384,617,0,Guard,Chris Paul
8,58,24.9,4.69,7.07,1.21,0.172,0.448,0.921,0.376,1447,0,Guard,Damian Lillard
9,58,30.2,12.0,5.95,0.845,1.24,0.599,0.605,0.178,1753,1,Forward,Giannis Antetokounmpo
10,43,25.7,12.0,3.44,1.26,2.16,0.528,0.786,0.312,1107,1,Forward-Center,Anthony Davis
11,41,16.2,5.34,4.34,1.83,0.488,0.43,0.814,0.358,665,0,Forward,Paul George
12,50,24.7,4.8,4.62,1.32,0.46,0.473,0.916,0.401,1234,1,Guard,Kyrie Irving
13,69,12.7,4.96,1.7,0.667,1.87,0.497,0.846,0.373,876,1,Center,Brook Lopez
14,48,17.3,3.42,3.62,1.02,0.521,0.505,0.812,0.395,832,0,Guard,Bradley Beal
15,63,18.6,10.1,3.43,0.825,0.667,0.531,0.805,0.404,1174,1,Center,Nikola Vučević
16,62,14.5,3.61,2.13,0.742,0.452,0.415,0.899,0.395,900,4,Guard,Klay Thompson
17,61,8.31,2.54,4.46,1.18,0.18,0.401,0.911,0.417,507,0,Guard,Mike Conley
18,33,4.03,1.97,2.82,0.939,0.303,0.351,0.818,0.337,133,0,Guard,Kyle Lowry
19,54,10.9,4.28,3.81,1.11,0.481,0.443,0.906,0.336,591,2,Guard,Jrue Holiday
20,65,25.8,4.06,7.0,0.985,0.215,0.458,0.896,0.349,1677,0,Guard,Devin Booker
21,62,29.1,12.8,10.3,1.76,0.694,0.575,0.807,0.413,1806,1,Center,Nikola Jokić
22,44,17.3,5.61,5.55,1.16,0.364,0.493,0.824,0.287,760,0,Forward,Jimmy Butler III
23,68,13.8,6.04,2.21,0.985,0.794,0.473,0.864,0.331,939,0,Forward,Tobias Harris
24,23,5.3,4.09,0.957,0.652,0.174,0.357,0.696,0.358,122,1,Forward-Center,Kevin Love
25,56,21.1,3.79,4.05,0.821,0.429,0.444,0.717,0.373,1183,0,Guard,CJ McCollum
26,63,24.5,12.9,3.05,0.984,0.73,0.525,0.834,0.425,1542,0,Center-Forward,Karl-Anthony Towns
27,55,8.45,5.95,2.09,0.618,0.855,0.416,0.875,0.357,465,1,Center-Forward,Al Horford
28,28,19.9,5.61,2.96,1.46,0.464,0.485,0.771,0.393,557,2,Forward,Kawhi Leonard
29,27,4.93,1.7,0.481,0.185,0.148,0.505,0.85,0.345,133,0,Forward,Jeff Green
30,39,6.82,1.18,1.67,0.667,0.308,0.426,0.75,0.409,266,0,Guard,Eric Gordon
31,56,18.4,4.43,2.54,0.964,0.821,0.453,0.77,0.375,1028,1,Forward,Andrew Wiggins
32,70,11.8,3.79,1.66,0.343,0.2,0.506,0.778,0.426,825,1,Forward,Harrison Barnes
33,65,27.2,8.71,5.92,1.12,0.523,0.454,0.815,0.349,1766,1,Forward-Guard,Jayson Tatum
34,59,18.7,7.02,4.64,0.695,0.22,0.479,0.808,0.33,1105,0,Forward-Center,Julius Randle
35,62,23.2,4.48,4.32,0.871,0.194,0.511,0.819,0.438,1440,0,Guard,Zach LaVine
36,65,23.7,4.34,4.8,1.31,0.185,0.44,0.824,0.367,1542,0,Guard,Donovan Mitchell
37,35,12.1,3.83,4.09,0.943,0.229,0.48,0.857,0.367,423,1,Forward,Khris Middleton
38,19,23.8,8.16,4.47,0.737,0.947,0.444,0.882,0.299,452,0,Center-Forward,Joel Embiid
39,39,27.6,8.49,7.85,1.92,0.436,0.442,0.768,0.358,1077,0,Forward-Guard,Luka Dončić
40,69,11.0,8.22,2.19,0.493,0.652,0.546,0.871,0.229,762,0,Center,Jonas Valančiūnas
41,37,16.2,3.19,3.73,0.838,0.243,0.408,0.797,0.362,600,0,Guard,Jordan Clarkson
42,66,24.1,3.18,11.4,1.15,0.167,0.41,0.874,0.332,1593,0,Guard,Trae Young
43,66,13.3,2.53,5.27,0.955,0.182,0.413,0.842,0.352,879,0,Guard,Dennis Schröder
44,62,23.5,4.81,6.32,1.47,0.403,0.463,0.827,0.31,1459,0,Guard,De'Aaron Fox
45,56,22.8,6.07,4.71,1.27,0.339,0.459,0.757,0.316,1275,1,Guard-Forward,Jaylen Brown
46,40,7.33,7.75,0.85,0.975,0.45,0.5,0.622,0.15,293,0,Center,Andre Drummond
47,69,3.83,2.83,1.17,0.681,0.478,0.415,0.833,0.41,264,1,Guard-Forward,Nicolas Batum
48,69,20.9,7.03,3.39,0.884,0.493,0.525,0.743,0.395,1443,1,Forward,Pascal Siakam
49,68,32.8,5.03,6.31,1.76,1.04,0.522,0.903,0.37,2232,0,Guard,Shai Gilgeous-Alexander
50,67,10.3,2.42,1.57,0.522,0.0896,0.399,0.831,0.359,687,0,Guard-Forward,Tim Hardaway Jr.
51,31,4.39,1.35,1.45,0.516,0.0968,0.391,0.778,0.338,136,1,Guard,Reggie Jackson
